CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:32:41.041         ~           ~      25.23614         ~    6:32:42.829  1107
 6:32:41.062         ~     734.78174         ~           ~    6:32:42.851  1107
 6:32:41.783   739.77777         ~           ~           ~    6:32:43.574  1107
 6:32:42.102         ~           ~           ~     740.27441  6:32:43.893  1107
 6:32:42.399         ~           ~      25.23614         ~    6:32:44.191  1107
 6:32:42.420         ~     739.42999         ~           ~    6:32:44.212  1107
 6:32:43.141   734.71979         ~           ~           ~    6:32:44.936  1107
 6:32:43.459         ~           ~           ~     740.27441  6:32:45.255  1107
 6:32:43.756         ~           ~      25.23614         ~    6:32:45.553  1107
 6:32:43.777         ~     734.78174         ~           ~    6:32:45.574  1107
 6:32:44.498   734.71979         ~           ~           ~    6:32:46.270  1107
 6:32:44.819         ~           ~           ~     740.27441  6:32:46.583  1107
 6:32:45.116         ~           ~      25.23614         ~    6:32:46.875  1107
 6:32:45.137         ~     734.78174         ~           ~    6:32:46.895  1107
 6:32:45.858   739.77777         ~           ~           ~    6:32:47.638  1107
 6:32:46.176         ~           ~           ~     740.27441  6:32:47.957  1107
 6:32:46.473         ~           ~      25.23614         ~    6:32:48.255  1107
 6:32:46.494         ~     734.78174         ~           ~    6:32:48.276  1107
 6:32:47.215   734.71979         ~           ~           ~    6:32:49.000  1107
 6:32:47.534         ~           ~           ~     740.27441  6:32:49.319  1107
 6:32:47.831         ~           ~      25.23614         ~    6:32:49.000  1107
 6:32:47.852         ~     739.42999         ~           ~    6:32:48.008  1107
 6:32:48.573   734.71979         ~           ~           ~    6:32:49.944  1107
 6:32:48.891         ~           ~           ~     740.27441  6:32:50.777  1107
 6:32:49.188         ~           ~      25.23614         ~    6:32:51.555  1107
 6:32:49.209         ~     734.78174         ~           ~    6:32:51.000  1107
 6:32:49.930   734.71979         ~           ~           ~    6:32:50.723  1107
 6:32:50.249         ~           ~           ~     740.27441  6:32:51.042  1107
 6:32:50.546         ~           ~      25.23614         ~    6:32:51.340  1107
 6:32:50.567         ~     739.42999         ~           ~    6:32:51.361  1107
 6:32:51.288   734.71979         ~           ~           ~    6:32:52.062  1107
 6:32:51.606         ~           ~           ~     740.27441  6:32:52.375  1107
 6:32:51.903         ~           ~      25.23614         ~    6:32:52.666  1107
 6:32:51.924         ~     734.78174         ~           ~    6:32:52.687  1107
 6:32:52.645   734.71979         ~           ~           ~    6:32:53.425  1107
 6:32:52.964         ~           ~           ~     740.27441  6:32:53.744  1107
 6:32:53.261         ~           ~      25.46256         ~    6:32:54.042  1107
 6:32:53.282         ~     734.78174         ~           ~    6:32:54.063  1107
 6:32:54.003   734.71979         ~           ~           ~    6:32:54.787  1107
 6:32:54.321         ~           ~           ~     740.27441  6:32:55.106  1107
 6:32:54.618         ~           ~      25.23614         ~    6:32:55.404  1107
 6:32:54.639         ~     739.42999         ~           ~    6:32:55.425  1107
 6:32:55.360   734.71979         ~           ~           ~    6:32:56.148  1107
 6:32:55.679         ~           ~           ~     740.27441  6:32:56.468  1107
 6:32:55.976         ~           ~      25.23614         ~    6:32:56.765  1107
 6:32:55.997         ~     734.78174         ~           ~    6:32:56.787  1107
 6:32:56.718   734.71979         ~           ~           ~    6:32:57.510  1107
 6:32:57.036         ~           ~           ~     740.27441  6:32:57.829  1107
 6:32:57.333         ~           ~      25.23614         ~    6:32:58.127  1107
 6:32:57.354         ~     734.78174         ~           ~    6:32:58.148  1107
 6:32:58.075   734.71979         ~           ~           ~    6:32:58.872  1107
 6:32:58.394         ~           ~           ~     740.27441  6:32:59.166  1107
 6:32:58.691         ~           ~      25.23614         ~    6:32:59.458  1107
 6:32:58.712         ~     734.78174         ~           ~    6:32:59.479  1107
 6:32:59.433   734.71979         ~           ~           ~    6:33:00.212  1107
 6:32:59.751         ~           ~           ~     740.27441  6:33:00.531  1107
 6:33:00.048         ~           ~      25.23614         ~    6:33:00.829  1107
 6:33:00.069         ~     734.78174         ~           ~    6:33:00.851  1107
 6:33:00.790   734.71979         ~           ~           ~    6:33:01.574  1107
 6:33:01.109         ~           ~           ~     740.27441  6:33:01.893  1107
 6:33:01.406         ~           ~      25.23614         ~    6:33:02.191  1107
 6:33:01.427         ~     734.78174         ~           ~    6:33:02.212  1107
 6:33:02.148   734.71979         ~           ~           ~    6:33:02.936  1107
 6:33:02.466         ~           ~           ~     740.27441  6:33:03.255  1107
 6:33:02.763         ~           ~      25.23614         ~    6:33:03.553  1107
 6:33:02.784         ~     734.78174         ~           ~    6:33:03.574  1107
 6:33:03.505   734.71979         ~           ~           ~    6:33:04.297  1107
 6:33:03.824         ~           ~           ~     740.27441  6:33:04.617  1107
 6:33:04.123         ~           ~      25.23614         ~    6:33:04.914  1107
 6:33:04.144         ~     734.78174         ~           ~    6:33:04.936  1107
 6:33:04.865   734.71979         ~           ~           ~    6:33:05.659  1107
 6:33:05.183         ~           ~           ~     740.27441  6:33:05.978  1107
 6:33:05.480         ~           ~      25.23614         ~    6:33:06.250  1107
 6:33:05.501         ~     739.42999         ~           ~    6:33:06.270  1107
 6:33:06.222   734.71979         ~           ~           ~    6:33:08.000  1107
 6:33:06.541         ~           ~           ~     740.27441  6:33:07.319  1107
 6:33:06.838         ~           ~      25.23614         ~    6:33:07.617  1107
 6:33:06.859         ~     739.42999         ~           ~    6:33:07.638  1107
 6:33:07.580   734.71979         ~           ~           ~    6:33:08.361  1107
 6:33:07.898         ~           ~           ~     740.27441  6:33:08.680  1107
 6:33:08.195         ~           ~      25.23614         ~    6:33:08.978  1107
 6:33:08.216         ~     734.78174         ~           ~    6:33:10.000  1107
 6:33:08.937   734.71979         ~           ~           ~    6:33:09.723  1107
 6:33:09.256         ~           ~           ~     740.27441  6:33:10.042  1107
 6:33:09.553         ~           ~      25.23614         ~    6:33:10.340  1107
 6:33:09.574         ~     734.78174         ~           ~    6:33:10.361  1107
 6:33:10.295   734.71979         ~           ~           ~    6:33:11.085  1107
 6:33:10.613         ~           ~           ~     740.27441  6:33:11.404  1107
 6:33:10.910         ~           ~      25.23614         ~    6:33:11.702  1107
 6:33:10.931         ~     734.78174         ~           ~    6:33:11.723  1107
 6:33:11.652   734.71979         ~           ~           ~    6:33:12.446  1107
 6:33:11.971         ~           ~           ~     740.27441  6:33:12.765  1107
 6:33:12.268         ~           ~      25.23614         ~    6:33:13.041  1107
 6:33:12.289         ~     734.78174         ~           ~    6:33:13.062  1107
 6:33:13.010   739.77777         ~           ~           ~    6:33:13.770  1107
 6:33:13.328         ~           ~           ~     740.27441  6:33:14.106  1107
 6:33:13.625         ~           ~      25.23614         ~    6:33:14.404  1107
 6:33:13.646         ~     734.78174         ~           ~    6:33:14.425  1107
 6:33:14.368   734.71979         ~           ~           ~    6:33:15.148  1107
 6:33:14.686         ~           ~           ~     740.27441  6:33:15.468  1107
 6:33:14.983         ~           ~      25.23614         ~    6:33:15.765  1107
 6:33:15.004         ~     734.78174         ~           ~    6:33:15.787  1107
 6:33:15.725   734.71979         ~           ~           ~    6:33:16.510  1107
 6:33:16.043         ~           ~           ~     740.27441  6:33:16.829  1107
 6:33:16.340         ~           ~      25.23614         ~    6:33:17.127  1107
 6:33:16.361         ~     739.42999         ~           ~    6:33:17.148  1107
 6:33:17.082   734.71979         ~           ~           ~    6:33:17.872  1107
 6:33:17.401         ~           ~           ~     740.27441  6:33:18.191  1107
 6:33:17.698         ~           ~      25.23614         ~    6:33:18.489  1107
 6:33:17.719         ~     734.78174         ~           ~    6:33:18.510  1107
 6:33:18.440   734.71979         ~           ~           ~    6:33:19.234  1107
 6:33:18.758         ~           ~           ~     740.27441  6:33:19.553  1107
 6:33:19.055         ~           ~      25.23614         ~    6:33:19.851  1107
 6:33:19.076         ~     739.42999         ~           ~    6:33:19.872  1107
 6:33:19.797   724.60376         ~           ~           ~    6:33:20.562  1107
 6:33:20.116         ~           ~           ~     740.27441  6:33:20.875  1107
 6:33:20.413         ~           ~      25.23614         ~    6:33:21.191  1107
 6:33:20.434         ~     734.78174         ~           ~    6:33:21.212  1107
 6:33:21.155   734.71979         ~           ~           ~    6:33:21.936  1107
 6:33:21.473         ~           ~           ~     740.27441  6:33:22.255  1107
 6:33:21.770         ~           ~      25.23614         ~    6:33:22.553  1107
 6:33:21.791         ~     734.78174         ~           ~    6:33:22.574  1107
 6:33:22.512   734.71979         ~           ~           ~    6:33:23.297  1107
 6:33:22.831         ~           ~           ~     740.27441  6:33:23.617  1107
 6:33:23.128         ~           ~      25.23614         ~    6:33:23.914  1107
 6:33:23.149         ~     739.42999         ~           ~    6:33:23.936  1107
 6:33:23.870   734.71979         ~           ~           ~    6:33:24.659  1107
 6:33:24.188         ~           ~           ~     740.27441  6:33:24.978  1107
 6:33:24.485         ~           ~      25.23614         ~    6:33:25.276  1107
 6:33:24.506         ~     739.42999         ~           ~    6:33:25.297  1107
 6:33:25.229   734.71979         ~           ~           ~    6:33:26.021  1107
 6:33:25.548         ~           ~           ~     740.27441  6:33:26.340  1107
 6:33:25.847         ~           ~      25.23614         ~    6:33:26.638  1107
 6:33:25.868         ~     739.42999         ~           ~    6:33:26.659  1107
 6:33:26.589   734.71979         ~           ~           ~    6:33:27.354  1107
 6:33:26.907         ~           ~           ~     740.27441  6:33:27.666  1107
 6:33:27.204         ~           ~      25.23614         ~    6:33:27.958  1107
 6:33:27.225         ~     734.78174         ~           ~    6:33:29.000  1107
 6:33:27.946   734.71979         ~           ~           ~    6:33:28.723  1107
 6:33:28.265         ~           ~           ~     740.27441  6:33:29.042  1107
 6:33:28.562         ~           ~      25.23614         ~    6:33:29.340  1107
 6:33:28.583         ~     734.78174         ~           ~    6:33:29.361  1107
 6:33:29.304   734.71979         ~           ~           ~    6:33:30.085  1107
 6:33:29.622         ~           ~           ~     740.27441  6:33:30.404  1107
 6:33:29.919         ~           ~      25.23614         ~    6:33:30.702  1107
 6:33:29.940         ~     734.78174         ~           ~    6:33:30.723  1107
 6:33:30.661   734.71979         ~           ~           ~    6:33:31.446  1107
 6:33:30.980         ~           ~           ~     740.27441  6:33:31.765  1107
 6:33:31.277         ~           ~      25.23614         ~    6:33:32.063  1107
 6:33:31.298         ~     739.42999         ~           ~    6:33:32.085  1107
 6:33:32.019   734.71979         ~           ~           ~    6:33:32.808  1107
 6:33:32.337         ~           ~           ~     740.27441  6:33:33.127  1107
 6:33:32.634         ~           ~      25.23614         ~    6:33:33.425  1107
 6:33:32.655         ~     739.42999         ~           ~    6:33:33.446  1107
 6:33:33.376   734.71979         ~           ~           ~    6:33:34.145  1107
 6:33:33.695         ~           ~           ~     740.27441  6:33:34.458  1107
 6:33:33.992         ~           ~      25.23614         ~    6:33:34.750  1107
 6:33:34.013         ~     739.42999         ~           ~    6:33:34.770  1107
 6:33:34.734   734.71979         ~           ~           ~    6:33:35.510  1107
 6:33:35.052         ~           ~           ~     740.27441  6:33:35.829  1107
 6:33:35.349         ~           ~      25.23614         ~    6:33:36.127  1107
 6:33:35.370         ~     739.42999         ~           ~    6:33:36.148  1107
 6:33:36.091   734.71979         ~           ~           ~    6:33:36.872  1107
 6:33:36.410         ~           ~           ~     740.27441  6:33:37.191  1107
 6:33:36.707         ~           ~      25.23614         ~    6:33:37.489  1107
 6:33:36.728         ~     734.78174         ~           ~    6:33:37.510  1107
 6:33:37.449   734.71979         ~           ~           ~    6:33:38.234  1107
 6:33:37.767         ~           ~           ~     740.27441  6:33:38.553  1107
